epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,13438.7,0.88803,0.5401,1.02925,0.94825,0.93712,0.97345,0.78688,0.73324,0.33077,0.9477,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13598.8,0.88779,0.53536,1.02797,0.9518,0.93529,0.97395,0.78748,0.73482,0.33065,0.94823,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13757.7,0.88146,0.53744,1.02805,0.95885,0.9297,0.97314,0.78718,0.73246,0.33071,0.94554,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13910.3,0.87822,0.53548,1.02173,0.95431,0.93016,0.97297,0.78749,0.73156,0.3326,0.9454,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14063.6,0.86953,0.52321,1.02019,0.95591,0.93301,0.97394,0.78838,0.73048,0.32993,0.94547,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14250.6,0.78724,0.36424,0.96652,0.95658,0.93408,0.97408,0.78785,0.73147,0.32896,0.94583,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,14401.8,0.77226,0.35387,0.96191,0.95631,0.93276,0.97318,0.78735,0.73072,0.33285,0.94569,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,14555.2,0.76154,0.34859,0.9563,0.95619,0.93574,0.97318,0.78754,0.73059,0.32886,0.94662,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14713.3,0.75698,0.34539,0.95726,0.9602,0.9332,0.97403,0.78912,0.72917,0.32837,0.94566,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14873.4,0.75589,0.34312,0.95771,0.95735,0.93381,0.97385,0.78873,0.72771,0.3286,0.94544,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15030.6,0.74426,0.33894,0.95289,0.95379,0.93648,0.97452,0.7903,0.72656,0.32523,0.94459,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15187.1,0.74836,0.33655,0.95037,0.95716,0.93345,0.97446,0.79001,0.72762,0.32335,0.94416,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15355.4,0.73681,0.33271,0.94723,0.95898,0.93154,0.97413,0.79088,0.72534,0.32452,0.94338,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,15537.1,0.73875,0.33034,0.94832,0.95948,0.9324,0.9741,0.79087,0.72297,0.32435,0.94219,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15712,0.7363,0.33457,0.94998,0.95635,0.93478,0.97423,0.79162,0.7217,0.32573,0.94116,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
